ID,Titre,Genre,Pays_origine,Budget,Recettes,Nombre_votes,Note_moyenne,Realisateurs,Acteurs_principaux,Date_sortie
682,Champagne!,Comédie,,0.0,0.0,477.0,5.9,Nicolas Vanier,"Elsa Zylberstein, François-Xavier Demaison, Stéphane De Groodt",2022
683,Champions,Comédie,,0.0,9263009.0,168.0,7.01,,,2023
684,Chaos Walking,Science-Fiction Fantastique Aventure,"United States of America, Canada, Hong Kong, Luxembourg",125000000.0,26508132.0,4353.0,6.63,Doug Liman,"Tom Holland, Daisy Ridley, Mads Mikkelsen, Demián Bichir, David Oyelowo",2021
685,Character,Thriller Mystère Policier,,0.0,12571501.0,19.0,6.9,,,2021
686,Charlatan,Drame,,0.0,0.0,96.0,6.8,,,2020
687,Charm City Kings,Drame,United States of America,0.0,0.0,837.0,7.87,Ángel Manuel Soto,"Jahi Di'Allo Winston, Meek Mill, Teyonah Parris, William Catlett, Kezii Curtis",2020
688,Cheaper by the Dozen,Familial Comédie,,0.0,0.0,185.0,6.5,,,2022
689,Cheburashka,Comédie Familial,,7692000.0,0.0,50.0,7.6,,,2022
690,Cheppina Evaru Nammaru,Action,,344227.0,0.0,0.0,,,,2021
691,Chernobyl : Under Fire,Drame Historique Aventure Action Fantastique Mystère Histoire,Russia,9100000.0,6459306.0,956.0,6.23,Данила Козловский,"Данила Козловский, Оксана Акиньшина, Филипп Авдеев, Равшана Куркова, Артур Бесчастный",2021
692,Cherry,Drame Policier,United States of America,40000000.0,0.0,2367.0,7.37,"Joe Russo, Anthony Russo","Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeffrey Wahlberg",2021
693,Chervonyi. No Front Line,Drame,,0.0,1700000.0,0.0,,,,2020
694,Chess Story,Historique Drame Guerre Thriller,,0.0,0.0,70.0,7.1,Philipp Stölzl,"Oliver Masucci, Dieter Bernhardt, Elias Gabele",2021
695,Chhaava,Histoire Action Drame,India,15800000.0,94988235.0,37.0,6.76,Laxman Utekar,"Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna, Ashutosh Rana, Divya Dutta",2025
696,Chi ha incastrato Babbo Natale?,Comédie,,5000000.0,0.0,201.0,5.8,Alessandro Siani,"Christian De Sica, Alessandro Siani, Diletta Leotta",2021
697,Chick Fight,Action Comédie,,0.0,0.0,194.0,5.9,Paul Leyden,"Malin Akerman, Bella Thorne, Dulcé Sloan",2020
698,Chicken Run : La menace nuggets,Animation Aventure Comédie Familial,United Kingdom,0.0,0.0,924.0,7.05,Sam Fell,"Thandiwe Newton, Zachary Levi, Bella Ramsey, Imelda Staunton, Lynn Ferguson",2023
699,Chickenhare and the Hamster of Darkness,Animation Aventure Comédie Familial Fantastique,,20000000.0,0.0,217.0,7.5,,,2022
700,Chief Daddy 2: Going for Broke,Comédie,,0.0,0.0,85.0,6.0,,,2021
701,Chilangolandia,Comédie,,0.0,0.0,79.0,7.1,,,2021
702,Child of Nature,Documentaire,,1000000.0,1000000.0,2.0,10.0,,,2021
703,Children of the Corn,Horreur Thriller,,800000.0,0.0,7.0,7.0,,,2020
704,Chinese Doctors,Drame,,0.0,176619381.0,8.0,6.4,,,2021
705,Chinese Speaking Vampires,Action Comédie Horreur,,100000.0,0.0,145.0,3.7,Randy Kent,"Davy Williams, Sean Eden Yi, Jeff McDonald",2021
706,Choose or Die,Horreur Thriller Science-Fiction,,0.0,0.0,577.0,5.37,Toby Meakins,"Iola Evans, Asa Butterfield, Robert Englund",2022
707,Christmas ...Again?!,Familial Comédie Fantastique TV Movie,,0.0,0.0,81.0,6.7,,,2021
708,Christmas Crossfire,Comédie Policier Thriller,,0.0,0.0,74.0,4.5,,,2020
709,Christmas Is Canceled,Comédie,,0.0,0.0,61.0,5.7,,,2021
710,Christmas Thieves,Familial Comédie Policier Animation,,7320000.0,0.0,4.0,3.0,,,2021
711,Christmas Under the Sea,,,5000.0,195673000.0,0.0,,,,2020
712,Christmas Wedding Planner,Romance Familial TV Movie,,0.0,0.0,100.0,5.5,,,2020
713,Christmas in Carolina,Comédie Romance TV Movie,,250000.0,0.0,1.0,4.0,,,2020
714,Christmas on Ice,TV Movie Romance,,0.0,0.0,60.0,7.0,,,2020
715,Christmas the Wright Way,Comédie,,100000.0,0.0,0.0,,,,2021
716,Christmas with The Chosen: The Messengers,TV Movie Drame Historique Musique,,0.0,13728000.0,3.0,7.0,,,2021
717,Christmas with You,Romance Comédie,,0.0,0.0,158.0,5.8,,,2022
718,Chuck Leavell: The Tree Man,Documentaire,,1000000.0,0.0,2.0,5.0,,,2020
719,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,Comédie Documentaire Policier Drame Horreur,,200000.0,0.0,1.0,10.0,,,2022
720,Ciao Alberto,Animation Comédie Familial Fantastique,,45223.0,0.0,573.0,7.5,,,2021
721,Ciel rouge sang,Horreur Thriller Action,"Germany, United Kingdom",17739525.0,0.0,2918.0,6.91,Peter Thorwarth,"Peri Baumeister, Carl Anton Koch, Kais Setti, Alexander Scheer, Dominic Purcell",2021
722,Cindy La Regia,Comédie Romance,,0.0,0.0,220.0,7.9,,,2020
723,Cinephile,,,100000.0,0.0,0.0,,,,2021
724,Citizens of the World,Comédie Drame,,0.0,0.0,64.0,6.7,,,2020
725,City of Darkness,Action Policier Thriller,"China, Hong Kong",38400000.0,95399186.0,430.0,7.05,Soi Cheang,"林峯, 古天樂, Sammo Kam-Bo Hung, Richie Jen, 劉俊謙",2024
726,Civil War,Guerre Action Drame,"Finland, United Kingdom, United States of America",50000000.0,126542249.0,3653.0,6.86,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, 李志傑",2024
727,Class Action Park,Documentaire,,0.0,0.0,86.0,7.0,"Seth Porges, Chris Charles Scott III","John Hodgman, Faith Anderson, Alison Becker",2020
728,Clean,Policier,,0.0,0.0,258.0,6.4,Paul Solet,"Adrien Brody, Glenn Fleshler, Richie Merritt",2022
729,Cleaner,Action Thriller,United Kingdom,0.0,1314073.0,294.0,6.5,Martin Campbell,"Daisy Ridley, Clive Owen, Taz Skylar, Flavia Watson, Ray Fearon",2025
730,Clerks III,Comédie,,7000000.0,0.0,117.0,6.2,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Vincent Pereira",2022
731,Cliff Walkers,Thriller Policier Historique Drame,,0.0,172919448.0,56.0,6.94,"Zhuang Jieqiong, Yimou Zhang","Hewei Yu, Yi Zhang, Hailu Qin",2021
732,Cliffhanger,Animation Aventure Comédie,,58000.0,0.0,2.0,8.5,,,2020
733,Clifford,Familial Aventure Comédie Fantastique Animation,"Canada, United States of America",64000000.0,107347356.0,3273.0,7.23,Walt Becker,"Darby Camp, Jack Whitehall, Izaac Wang, John Cleese, Tony Hale",2021
734,Close,Drame,"Belgium, France, Netherlands",0.0,3129968.0,1526.0,7.8,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel",2022
735,Close Encounters of the Fifth Kind,Documentaire,,0.0,0.0,80.0,7.26,Michael Mazzola,"Linda A'Roraha, Wendy Boast, Justice Campbell",2020
736,Closer,Comédie Romance,Canada,0.0,0.0,70.0,6.15,Justin Wu,"Siena Agudong, Noah Beck, Drew Ray Tanner, James Van Der Beek, Deborah Cox",2025
737,Clouds,Musique Drame Romance,,0.0,0.0,969.0,8.3,,,2020
738,Clownery,Horreur,,0.0,0.0,52.0,6.0,,,2020
739,Coche Bomba,Drame,,100000.0,0.0,0.0,,,,2021
740,Coda,Musique Drame,,0.0,0.0,57.0,6.3,,,2020
741,Code Name Banshee,Thriller Action,,0.0,0.0,58.0,5.2,,,2022
742,Code Name: Emperor,Drame Thriller,,0.0,0.0,127.0,5.9,,,2022
743,Coffee & Kareem,Comédie Action Policier,,0.0,0.0,340.0,5.5,,,2020
744,Collide,Policier Thriller,,50000.0,0.0,1.0,4.0,,,2022
745,Collodion: The Process of Preservation,Documentaire,,150000.0,0.0,0.0,,,,2020
746,Colors of Character,Documentaire,,350000.0,0.0,13.0,6.4,Chris Danielson,"Don Keith, Steve Skipper",2020
747,Coma : Esprits prisonniers,Science-Fiction Aventure Action,Russia,2250000.0,9500000.0,571.0,6.4,Nikita Argunov,"Риналь Мухаметов, Антон Пампушный, Любовь Аксёнова, Милош Бикович, Константин Лавроненко",2020
748,Combat Wombat,Animation Familial Fantastique,,0.0,153303.0,26.0,6.8,,,2020
749,Come Away,Fantastique Aventure,,0.0,1746860.0,250.0,5.81,,,2020
750,Come Play,Horreur Mystère,United States of America,9000000.0,13182254.0,1207.0,6.4,Jacob Chase,"Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley, Jayden Marine",2020
751,Come Play With Me,Horreur,,0.0,1753826.0,157.0,6.9,,,2021
752,Come True,Science-Fiction Horreur,,0.0,70459.0,179.0,6.1,,,2020
753,Comfort,Drame,,100000.0,0.0,0.0,,,,2021
754,Comidark Films 2: Insane,Drame Comédie,,0.0,680418.0,41.0,6.1,,,2020
755,Comidark Films 2: The Pawn,Drame Comédie,,0.0,680418.0,34.0,5.15,,,2020
756,Coming Home in the Dark,Thriller Horreur,,0.0,0.0,112.0,5.7,,,2021
757,Comment je suis devenu super-héros,Science-Fiction Aventure Action Comédie Thriller,France,18000000.0,0.0,945.0,6.15,Douglas Attal,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde, Leïla Bekhti, Swann Arlaud",2020
758,Companion,Horreur Romance Science-Fiction Thriller,United States of America,10000000.0,36709101.0,1422.0,7.07,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage, Megan Suri, Harvey Guillén",2025
759,Companion,Horreur,,150000.0,0.0,869.0,3.5,John Darbonne,"Anna Flynn, Marcus Anthony, Russell Shealy",2021
760,Compartment No. 6,Drame,,2412000.0,0.0,288.0,7.08,,,2021
761,Compulsus,,,150000.0,0.0,0.0,,,,2022
762,Con chi viaggi,Comédie Mystère,,0.0,0.0,128.0,5.59,,,2022
763,Conclave,Drame Thriller,"United Kingdom, United States of America",20000000.0,115657988.0,2659.0,7.2,Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow, Isabella Rossellini, Lucian Msamati",2024
764,Concrete Cowboy,Drame Western,,0.0,0.0,144.0,6.2,,,2020
765,"Confess, Fletch",Policier Comédie Mystère,,0.0,500000.0,137.0,6.3,,,2022
766,Confession,Policier Thriller,,6244195.0,0.0,278.0,6.9,Dayna Hanson,"Clark Backo, Sarah Hay, Nolan Gerard Funk",2022
767,Confessions of a Cuckoo,Drame,,250000.0,0.0,2.0,4.8,,,2021
768,Confessions of an Invisible Girl,Comédie Drame,,0.0,0.0,194.0,6.9,,,2021
769,Conjuring : Sous l'emprise du Diable,Horreur Mystère Thriller,United States of America,39000000.0,206431050.0,11028.0,7.45,Michael Chaves,"Patrick Wilson, Vera Farmiga, Ruairí O'Connor, Sarah Catherine Hook, Julian Hilliard",2021
770,Connectés,Comédie Thriller,,0.0,0.0,115.0,4.6,,,2020
771,Consent,Drame Historique,,3700000.0,0.0,0.0,,,,2023
772,Console Wars,Documentaire,,0.0,0.0,59.0,7.3,,,2020
773,Constantine: The House of Mystery,Animation Action Aventure Horreur,,0.0,0.0,103.0,7.2,,,2022
774,Contra,Comédie,,0.0,0.0,78.0,7.4,Sönke Wortmann,"Nilam Farooq, Christoph Maria Herbst, Hassan Akkouch",2020
775,Contre-attaque,Action Aventure Thriller,Mexico,0.0,0.0,713.0,8.32,Chava Cartas,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava",2025
776,Control Freak,Horreur,United States of America,0.0,0.0,64.0,5.47,Shal Ngo,"Kelly Marie Tran, Miles Robbins, Kieu Chinh, Toan Le, Callie Johnson",2025
777,Convaleciente,Drame,,8789000.0,0.0,1.0,1.0,,,2021
778,Cook F**k Kill,Drame,,1250000.0,0.0,0.0,,,,2020
779,Coolie No. 1,Comédie Drame,India,0.0,0.0,112.0,5.59,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Rajpal Yadav, Johny Lever",2020
780,Cop Secret,Comédie Action Thriller,,0.0,0.0,67.0,6.2,,,2022
781,Copenhagen Does Not Exist,Drame,,2425000.0,0.0,0.0,,,,2023
782,Copshop,Thriller Policier Action,,0.0,6807158.0,541.0,6.2,,,2021
783,Corazón ardiente,Drame Documentaire,,400000.0,0.0,81.0,7.1,"Antonio Cuadri, Andrés Garrigó","Carmelo Crespo, Claudio Crespo, Wendy Gara",2022
784,Corona Depression,Drame,,0.0,0.0,55.0,5.9,,,2020
785,Corrective Measures : Mutants surpuissants,Action Science-Fiction Thriller Aventure,United States of America,0.0,34489.0,142.0,5.09,Sean Patrick O'Reilly,"Brennan Mejia, Dan Payne, Michael Rooker, Bruce Willis, Tom Cavanagh",2022
786,Corro da te,Comédie Romance,,0.0,0.0,278.0,6.9,,,2022
787,Corsage,Drame Historique,,7580600.0,537274.0,81.0,6.9,Marie Kreutzer,"Vicky Krieps, Florian Teichtmeister, Katharina Lorenz",2022
788,Corvo,Documentaire Policier,,50000.0,0.0,0.0,,,,2021
789,Cosmic Sin,Action Aventure Science-Fiction,,20000000.0,349757.0,522.0,4.1,Edward Drake,"Frank Grillo, Bruce Willis, Brandon Thomas Lee",2021
790,Cosmoball,Science-Fiction Aventure,,15000000.0,0.0,178.0,6.4,,,2020
791,Coup de Chance,Comédie Drame Romance,,10000000.0,3767399.0,232.0,6.36,,,2023
792,"Cours, ma jolie, cours.",Thriller Horreur,United States of America,0.0,0.0,309.0,5.7,Shana Feste,"Ella Balinska, Pilou Asbæk, Clark Gregg, Shohreh Aghdashloo, Dayo Okeniyi",2020
793,Court Martial,Drame,,131684.0,0.0,283.0,7.0,"Sourabh Shrivastava, Karwarkar Bhavika","Saksham Dayma, Rajeev Khandelwal, Swapnill Kotriwar",2020
794,Courting Mom and Dad,Familial,,1000000.0,0.0,256.0,5.0,Anna Zielinski,"Scott Baio, Kristy Swanson, Bailey Baio",2021
795,Cousins,Drame,,20000000.0,0.0,713.0,7.2,"Ainsley Gardiner, Briar Grace Smith","Chelsie Preston Crayford, Rachel House, Cohen Holloway",2021
796,Coven,Drame Historique,,0.0,0.0,228.0,6.7,,,2020
797,Crack House of the Dead,Horreur Action,,175000.0,0.0,0.0,,,,2021
798,"Crack: Cocaine, Corruption & Conspiracy",Documentaire,,0.0,0.0,54.0,6.6,,,2021
799,Cranston Academy: Monster Zone,Aventure Science-Fiction Animation Fantastique Horreur,,0.0,641308.0,89.0,6.1,,,2020
800,Crated,Thriller,,100000.0,0.0,147.0,3.9,Kyle Godfrey,"Kenrick Fenelus, Kyle Godfrey, Rohith Kalavacharla",2020
801,Craving,Policier Horreur Thriller,,100000.0,0.0,0.0,,,,2023
802,Crawlers,Horreur Comédie TV Movie,,0.0,0.0,75.0,6.0,,,2020
803,Crawlspace,Thriller,,0.0,0.0,82.0,6.6,,,2022
804,Crayon Shin-Chan: Crash! Rakuga Kingdom and Almost Four Heroes,Animation Comédie Drame Familial,,0.0,11000000.0,6.0,8.1,,,2020
805,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,Animation,,2550000.0,0.0,9.0,8.0,,,2021
806,Crazy About Her,Comédie Romance,,0.0,0.0,407.0,7.2,Dani de la Orden,"Álvaro Cervantes, Susana Abaitua, Luis Zahera",2021
807,Crazy Bear,Thriller Comédie Policier,United States of America,32500000.0,88314672.0,3572.0,6.1,Elizabeth Banks,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr., Ray Liotta, Isiah Whitlock, Jr.",2023
808,Crazy Cat Lady,Documentaire,,90000.0,0.0,0.0,,,,2021
809,Crazy Fist,Action,,0.0,0.0,51.0,6.94,,,2021
810,"Crazy, Not Insane",Documentaire,,0.0,0.0,55.0,7.7,Alex Gibney,"Dorothy Otnow Lewis, Catherine Yeager, Richard Burr",2020
811,Creating The Queen's Gambit,Documentaire TV Movie,,0.0,0.0,83.0,8.0,,,2021
812,Creation Of The Gods II: Demon Force,Action Fantastique Guerre,China,120000000.0,172619925.0,51.0,6.3,乌尔善,"黄渤, 于适, 那尔那茜, 陈牧驰, Kris Phillips",2025
813,Creators: The Past,Science-Fiction Action Aventure Romance Fantastique Mystère Drame,,0.0,131473.0,11.0,3.0,,,2020
814,Creatures,Horreur Action Comédie Science-Fiction,,221987.0,0.0,13.0,5.2,Tony Jopia,"Romain Barbey, Rina Saito, Chris Kyriacou",2021
815,Creed III,Drame Action,United States of America,75000000.0,275300000.0,3786.0,7.15,Michael B. Jordan,"Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashād, Mila Davis-Kent",2023
816,Crimes of the Future,Drame Horreur Science-Fiction,,0.0,4400000.0,704.0,6.32,,,2022
817,Criminal Squad : Pantera,Action Drame Policier Thriller,"Canada, United States of America",40000000.0,54586117.0,546.0,6.73,Christian Gudegast,"Gerard Butler, O'Shea Jackson Jr., Evin Ahmad, Salvatore Esposito, Meadow Williams",2025
818,Crip Camp: A Disability Revolution,Documentaire,,0.0,0.0,118.0,7.2,,,2020
819,Crisis,Thriller Policier Drame,,0.0,0.0,239.0,6.4,,,2021
820,Cross the Line,Thriller Policier,,0.0,0.0,189.0,6.8,,,2020
821,Crossing Columbus,Documentaire,,125000.0,0.0,0.0,,,,2020
822,Cruel Summer,Horreur,,50000.0,0.0,0.0,,,,2021
823,Cruella,Comédie Policier Aventure,United States of America,200000000.0,233503234.0,17624.0,8.03,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, John McCrea",2021
824,Crush,Thriller Horreur Policier Mystère,"Germany, Switzerland, United States of America",0.0,0.0,259.0,5.7,Luis Prieto,"Cameron Monaghan, Lilly Krug, Frank Grillo, Sasha Luss, John Malkovich",2022
825,Crush,Comédie Romance,,0.0,0.0,406.0,7.46,,,2022
826,Cry Macho,Drame Western,,33000000.0,16481544.0,803.0,6.0,,,2021
827,Création des dieux - Le royaume des tempêtes,Action Fantastique Guerre,China,85000000.0,372945000.0,537.0,7.14,乌尔善,"Kris Phillips, 李雪健, 黄渤, 于适, 陈牧驰",2023
828,Cuando Sea Joven,Comédie Fantastique,,0.0,0.0,193.0,8.83,,,2022
829,Cube,Thriller Mystère Science-Fiction Horreur,,0.0,0.0,64.0,5.5,,,2021
830,Cupids on Beacon Street,Comédie Romance TV Movie,,3000000.0,0.0,4.0,6.5,,,2021
831,"Curious George: Go West, Go Wild",Animation Familial TV Movie,,0.0,0.0,87.0,6.1,,,2020
832,Cut Throat City,Action Policier Drame Thriller,,0.0,0.0,122.0,6.6,,,2020
833,Cuties,Drame,,0.0,0.0,361.0,5.3,,,2020
834,Cyber Heist,Thriller Policier Action,,0.0,9605591.0,17.0,5.1,,,2023
835,Cyber Hell: Exposing an Internet Horror,Documentaire,,0.0,0.0,59.0,7.2,,,2022
836,Cyrano,Drame Romance,,20000000.0,3000000.0,206.0,6.5,,,2021
837,C’era una volta il crimine,Comédie,,0.0,0.0,52.0,5.3,,,2022
838,D.N.A. - Decisamente non adatti,Comédie Science-Fiction,,0.0,0.0,76.0,5.4,,,2020
839,DC Showcase: The Phantom Stranger,Animation Action Horreur Fantastique,,0.0,0.0,52.0,7.4,,,2020
840,DEVA,Action Thriller Mystère Policier,India,5882000.0,6705000.0,53.0,6.02,Rosshan Andrrews,"Shahid Kapoor, Pooja Hegde, Pavail Gulati, Pravessh Rana, Girish Kulkarni",2025
841,DNA,Drame,,0.0,0.0,127.0,6.1,,,2020
842,Da 5 Bloods,Guerre Drame,,45000000.0,0.0,935.0,6.6,,,2020
843,Dad Wanted,Drame,,0.0,0.0,160.0,7.5,,,2020
844,Dad's Sneakers,Drame,,52000.0,0.0,0.0,,,,2022
845,"Dad, I'm Sorry",Comédie Familial Drame,,128.0,17130489.0,5.0,7.2,,,2021
846,Daddio,Drame,,0.0,966092.0,45.0,6.3,,,2024
847,Daisy Quokka: World’s Scariest Animal,Animation Comédie Familial,,0.0,0.0,67.0,6.7,,,2021
848,Dalíland,Drame Historique,,0.0,471787.0,23.0,6.7,,,2022
849,Damal,Guerre Drame,,210000.0,0.0,0.0,,,,2022
850,Dampyr,Horreur Fantastique Action,Italy,15000000.0,362113.0,241.0,6.29,Riccardo Chemello,"Wade Briggs, Stuart Martin, Frida Gustavsson, Sebastian Croft, Luke Roberts",2022
851,Dance of the Forty One,Drame Historique,,0.0,0.0,160.0,7.9,,,2020
852,Dancing On,Comédie Romance,,8300000.0,0.0,31.0,5.2,,,2022
853,Dancing Queens,Comédie Drame,,0.0,0.0,80.0,5.9,,,2021
854,Dancing on Glass,Drame,,0.0,0.0,60.0,6.2,,,2022
855,Dancing on Top,Drame Musique,,1764783.0,0.0,0.0,,,,2022
856,Dangerous,Action Thriller,United States of America,0.0,0.0,851.0,6.11,David Hackl,"Scott Eastwood, Mel Gibson, Tyrese Gibson, Kevin Durand, Famke Janssen",2021
857,Dangerous Animals,Horreur Thriller,"Australia, United States of America, Canada, United Kingdom",0.0,5016634.0,17.0,7.1,Sean Byrne,"Hassie Harrison, Jai Courtney, Josh Heuston, Ella Newton, Liam Greinke",2025
858,Dangerous Lies,Thriller,,0.0,0.0,815.0,6.28,Michael M. Scott,"Nick Purcha, Joe Costa, Camila Mendes",2020
859,Danny Boy,Drame Guerre TV Movie,,0.0,0.0,123.0,6.81,,,2021
860,Danny Detective Inc.,Policier Mystère Thriller TV Movie,,55000.0,0.0,0.0,,,,2021
861,Dara of Jasenovac,Drame Historique Guerre,,0.0,0.0,60.0,8.1,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic",2020
862,Dark Cloud,Science-Fiction Horreur Mystère Thriller,,0.0,0.0,86.0,6.22,,,2022
863,Dark Glasses,Drame Thriller Horreur Mystère,,0.0,0.0,124.0,5.1,Dario Argento,"Ilenia Pastorelli, Asia Argento, Andrea Gherpelli",2022
864,Dark Heart of the Forest,Drame,,1300000.0,0.0,0.0,,,,2023
865,Dark Spell,Romance Horreur Thriller Mystère Fantastique,,0.0,532054.0,127.0,6.7,Svyatoslav Podgaevskiy,"Yana Enzhaeva, Konstantin Beloshapka, Ilya Yermolov",2021
866,Dark Web: Cicada 3301,Thriller Action Comédie,,0.0,0.0,92.0,6.2,,,2021
867,Dashcam,Horreur Thriller,,100000.0,58156.0,46.0,4.99,,,2022
868,Dating Amber,Comédie Drame Romance,,0.0,0.0,123.0,7.2,,,2020
869,Daulat,Drame Thriller,,100000.0,0.0,130.0,5.6,Imran Sheik,"Vanida Imran, Rashidi Ishak, Tony Eusoff",2020
870,Dave Chappelle: The Closer,Comédie,,0.0,0.0,137.0,7.2,,,2021
871,David Attenborough : Une vie sur notre planète,Documentaire Drame,United Kingdom,0.0,0.0,651.0,8.5,"Alastair Fothergill, Keith Scholey, Jonathan Hughes","David Attenborough, Max Hughes",2020
872,David Beckham: Infamous,Documentaire,,130000.0,0.0,1.0,5.0,,,2022
873,David Byrne's American Utopia,Musique Documentaire,,0.0,0.0,54.0,8.2,Spike Lee,"David Byrne, Jacqueline Acevedo, Gustavo Di Dalva",2020
874,David and the Elves,Familial Fantastique Comédie,,0.0,0.0,73.0,6.11,,,2021
875,Dawn Breaks Behind the Eyes,Horreur Mystère Comédie Romance,,450000.0,0.0,4.0,9.0,,,2022
876,Dawn of War,Thriller,,2940000.0,0.0,10.0,6.9,Margus Paju,"Priit Võigemast, Kaspars Znotins, Agnese Budovska",2020
877,Day Shift,Action Fantastique Horreur Comédie,,0.0,0.0,1670.0,6.85,,,2022
878,Dayı: Bir Adamın Hikâyesi,Drame Aventure Romance,,0.0,1209996.0,8.0,5.1,,,2021
879,De Gaulle,Historique Drame,,0.0,7142214.0,242.0,6.1,Gabriel Le Bomin,"Lambert Wilson, Isabelle Carré, Olivier Gourmet",2020
880,De patitas a la calle,Aventure,,90000.0,0.0,17.0,6.9,,,2020
881,DeMarcus Cousins Presents Boogie's Comedy Slam,Comédie,,409000.0,1500000.0,3.0,7.3,,,2020
882,Dead for a Dollar,Western Thriller,,0.0,0.0,86.0,5.7,,,2022
883,Deadly Illusions,Thriller Drame,,0.0,0.0,278.0,5.0,,,2021
884,Deadpool & Wolverine,Action Comédie Science-Fiction,United States of America,200000000.0,1338073645.0,10243.0,7.62,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Dafne Keen",2024
885,Deadstream,Horreur Comédie,,0.0,0.0,89.0,6.5,,,2022
886,Dear Comrades!,Historique Drame,,2000000.0,0.0,94.0,7.6,Andrey Konchalovskiy,"Yuliya Vysotskaya, Vladislav Komarov, Andrey Gusev",2020
887,Dear Evan Hansen,Drame,,27500000.0,19200000.0,232.0,6.4,,,2021
888,Dear Mother,Comédie Drame,,0.0,0.0,152.0,5.85,Laurent Lafitte,"Laurent Lafitte, Karin Viard, Vincent Macaigne",2020
889,Death Club,Horreur,,200000.0,0.0,1.0,1.0,,,2023
890,Death Notice,Policier Mystère,,16000000.0,0.0,0.0,,,,2023
891,Death Whisperer,Horreur Thriller,Thailand,0.0,15150000.0,201.0,7.47,Taweewat Wantha,"ณเดชน์ คูกิมิยะ, กาจบัณฑิต ใจดี, พีระกฤตย์ พชรบุณยเกียรติ, เจลีลชา คัปปุน, รัตนวดี วงศ์ทอง",2023
892,Death of Me,Horreur Mystère,,0.0,41848.0,211.0,5.0,,,2020
893,Death of a Unicorn,Horreur Fantastique Comédie,United States of America,15000000.0,16301736.0,315.0,6.39,Alex Scharfman,"Paul Rudd, Jenna Ortega, Will Poulter, Richard E. Grant, Téa Leoni",2025
894,Death to 2020,Comédie,,0.0,0.0,606.0,6.54,,,2020
895,Death to 2021,Comédie,,0.0,0.0,190.0,6.0,,,2021
896,Death's Diner,,,85000.0,0.0,0.0,,,,2022
897,Deathstroke: Knights & Dragons - The Movie,Animation Action Aventure Science-Fiction,,0.0,0.0,372.0,6.9,,,2020
898,Debt Collectors,Action Comédie Policier,,0.0,0.0,173.0,6.18,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich",2020
899,December,Drame Mystère Historique,,3400000.0,0.0,0.0,,,,2022
900,Deception,Drame Romance,,0.0,0.0,52.0,5.6,,,2021
901,Decibel,Action Thriller Mystère,,8500000.0,6843970.0,18.0,6.8,,,2022
902,Decision to Leave,Thriller Policier Mystère Drame Romance,South Korea,0.0,16914773.0,2092.0,7.37,Park Chan-Wook,"Tang Wei, Park Hae-il, 이정현, 고경표, 박용우",2022
903,Deep,Science-Fiction Thriller,,0.0,0.0,80.0,6.3,,,2021
904,Deep Blue Sea 3,Action Horreur Science-Fiction,,5000000.0,0.0,239.0,5.7,,,2020
905,Deep Cover,Action Comédie Policier,United States of America,0.0,0.0,249.0,6.7,Tom Kingsley,"Bryce Dallas Howard, Orlando Bloom, Nick Mohammed, Paddy Considine, Sonoya Mizuno",2025
906,Deep Sea,Animation Aventure Fantastique Science-Fiction,,28700000.0,112600000.0,8.0,8.0,,,2023
907,Delete History,Comédie,,0.0,0.0,178.0,5.7,"Benoît Delépine, Gustave Kervern","Blanche Gardin, Denis Podalydès, Corinne Masiero",2020
908,Delicious,Historique Drame Comédie,,5000000.0,8356097.0,180.0,7.0,Éric Besnard,"Grégory Gadebois, Isabelle Carré, Benjamin Lavernhe",2021
909,Deliver Us from Evil,Policier Action Drame,,12000000.0,34662454.0,141.0,6.8,,,2020
910,Demain est un autre jour,Romance Comédie Drame,United States of America,0.0,0.0,417.0,6.93,Adam Brooks,"Sofia Carson, Kyle Allen, Sebastian de Souza, Connie Britton, José Zúñiga",2025
911,Demented,Horreur,,191000.0,0.0,3.0,0.8,,,2021
